IDATid,Sample_ID,SentrixBarcode_A,SentrixPosition_A,File_ID,SNPid,SAMPLE_ID,INVENTORY_SAMPLE_NAME,SampleType,Plate,GreenIDAT,RedIDAT
6317404009_R01C01,Unk436,6317404009,R01C01,_ega-box-147_6317404009_R01C01,WG0118064.DNAA05,636347,BFTC-909,CellLine,WG0118064,6317404009_R01C01_Grn.idat,6317404009_R01C01_Red.idat
6317404009_R02C01,Unk437,6317404009,R02C01,_ega-box-147_6317404009_R02C01,WG0118064.DNAC05,636349,huH-1,CellLine,WG0118064,6317404009_R02C01_Grn.idat,6317404009_R02C01_Red.idat
6317404009_R03C01,Unk438,6317404009,R03C01,_ega-box-147_6317404009_R03C01,WG0118064.DNAB05,636348,Hep G2,CellLine,WG0118064,6317404009_R03C01_Grn.idat,6317404009_R03C01_Red.idat
6317404009_R04C01,Unk439,6317404009,R04C01,_ega-box-147_6317404009_R04C01,WG0118064.DNAD05,636350,PLC/PRF/5,CellLine,WG0118064,6317404009_R04C01_Grn.idat,6317404009_R04C01_Red.idat
6317404010_R02C01,Unk440,6317404010,R02C01,_ega-box-147_6317404010_R02C01,WG0118060.DNAC09,637172,SW527,CellLine,WG0118060,6317404010_R02C01_Grn.idat,6317404010_R02C01_Red.idat
6317404012_R03C01,Unk441,6317404012,r03c01,_ega-box-147_6317404012_r03c01,WG0118061.DNAB02,636230,HOP-92,CellLine,WG0118061,6317404012_r03c01_grn.idat,6317404012_r03c01_red.idat
6317404012_R04C01,Unk442,6317404012,r04c01,_ega-box-147_6317404012_r04c01,WG0118061.DNAD02,636232,NCI-H2126,CellLine,WG0118061,6317404012_r04c01_grn.idat,6317404012_r04c01_red.idat
6317404016_R01C01,Unk443,6317404016,R01C01,_ega-box-147_6317404016_R01C01,WG0118064.DNAA06,636355,BEN,CellLine,WG0118064,6317404016_R01C01_Grn.idat,6317404016_R01C01_Red.idat
6317404016_R02C01,Unk444,6317404016,R02C01,_ega-box-147_6317404016_R02C01,WG0118064.DNAC06,636357,ChaGo-K-1,CellLine,WG0118064,6317404016_R02C01_Grn.idat,6317404016_R02C01_Red.idat
6317404017_R01C01,Unk445,6317404017,r01c01,_ega-box-147_6317404017_r01c01,WG0118061.DNAA06,636261,KP-3,CellLine,WG0118061,6317404017_r01c01_grn.idat,6317404017_r01c01_red.idat
6317404017_R02C01,Unk446,6317404017,r02c01,_ega-box-147_6317404017_r02c01,WG0118061.DNAC06,636263,PA-TU-8988S,CellLine,WG0118061,6317404017_r02c01_grn.idat,6317404017_r02c01_red.idat
6317404018_R01C01,Unk447,6317404018,r01c01,_ega-box-147_6317404018_r01c01,WG0118061.DNAE06,636265,PK-45H,CellLine,WG0118061,6317404018_r01c01_grn.idat,6317404018_r01c01_red.idat
